Column1,Country,Year,Series,Value
Cyprus2015,Cyprus,2015,Supply per capita (gigajoules),73
Czechia1995,Czechia,1995,Primary energy production (petajoules),1367
Czechia2000,Czechia,2000,Primary energy production (petajoules),1289
Czechia2005,Czechia,2005,Primary energy production (petajoules),1387
Czechia2010,Czechia,2010,Primary energy production (petajoules),1339
Czechia2013,Czechia,2013,Primary energy production (petajoules),1277
Czechia2014,Czechia,2014,Primary energy production (petajoules),1245
Czechia2015,Czechia,2015,Primary energy production (petajoules),1213
Czechia1995,Czechia,1995,Net imports [Imports - Exports - Bunkers] (petajoules),367
Czechia2000,Czechia,2000,Net imports [Imports - Exports - Bunkers] (petajoules),411
Czechia2005,Czechia,2005,Net imports [Imports - Exports - Bunkers] (petajoules),527
Czechia2010,Czechia,2010,Net imports [Imports - Exports - Bunkers] (petajoules),476
Czechia2013,Czechia,2013,Net imports [Imports - Exports - Bunkers] (petajoules),489
Czechia2014,Czechia,2014,Net imports [Imports - Exports - Bunkers] (petajoules),527
Czechia2015,Czechia,2015,Net imports [Imports - Exports - Bunkers] (petajoules),555
Czechia1995,Czechia,1995,Changes in stocks (petajoules),-30
Czechia2000,Czechia,2000,Changes in stocks (petajoules),-49
Czechia2005,Czechia,2005,Changes in stocks (petajoules),16
Czechia2010,Czechia,2010,Changes in stocks (petajoules),-77
Czechia2013,Czechia,2013,Changes in stocks (petajoules),-41
Czechia2014,Czechia,2014,Changes in stocks (petajoules),13
Czechia2015,Czechia,2015,Changes in stocks (petajoules),4
Czechia1995,Czechia,1995,Total supply (petajoules),1764
Czechia2000,Czechia,2000,Total supply (petajoules),1748
Czechia2005,Czechia,2005,Total supply (petajoules),1898
Czechia2010,Czechia,2010,Total supply (petajoules),1891
Czechia2013,Czechia,2013,Total supply (petajoules),1807
Czechia2014,Czechia,2014,Total supply (petajoules),1758
Czechia2015,Czechia,2015,Total supply (petajoules),1764
Czechia1995,Czechia,1995,Supply per capita (gigajoules),171
Czechia2000,Czechia,2000,Supply per capita (gigajoules),171
Czechia2005,Czechia,2005,Supply per capita (gigajoules),186
Czechia2010,Czechia,2010,Supply per capita (gigajoules),180
Czechia2013,Czechia,2013,Supply per capita (gigajoules),171
Czechia2014,Czechia,2014,Supply per capita (gigajoules),167
Czechia2015,Czechia,2015,Supply per capita (gigajoules),167
Dem. People's Rep. Korea1990,Dem. People's Rep. Korea,1990,Primary energy production (petajoules),1211
Dem. People's Rep. Korea1995,Dem. People's Rep. Korea,1995,Primary energy production (petajoules),838
Dem. People's Rep. Korea2000,Dem. People's Rep. Korea,2000,Primary energy production (petajoules),787
Dem. People's Rep. Korea2005,Dem. People's Rep. Korea,2005,Primary energy production (petajoules),923
Dem. People's Rep. Korea2010,Dem. People's Rep. Korea,2010,Primary energy production (petajoules),872
Dem. People's Rep. Korea2013,Dem. People's Rep. Korea,2013,Primary energy production (petajoules),853
Dem. People's Rep. Korea2014,Dem. People's Rep. Korea,2014,Primary energy production (petajoules),871
Dem. People's Rep. Korea2015,Dem. People's Rep. Korea,2015,Primary energy production (petajoules),788
Dem. People's Rep. Korea1990,Dem. People's Rep. Korea,1990,Net imports [Imports - Exports - Bunkers] (petajoules),181
Dem. People's Rep. Korea1995,Dem. People's Rep. Korea,1995,Net imports [Imports - Exports - Bunkers] (petajoules),83
Dem. People's Rep. Korea2000,Dem. People's Rep. Korea,2000,Net imports [Imports - Exports - Bunkers] (petajoules),41
Dem. People's Rep. Korea2005,Dem. People's Rep. Korea,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-28
Dem. People's Rep. Korea2010,Dem. People's Rep. Korea,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-77
Dem. People's Rep. Korea2013,Dem. People's Rep. Korea,2013,Net imports [Imports - Exports - Bunkers] (petajoules),-395
Dem. People's Rep. Korea2014,Dem. People's Rep. Korea,2014,Net imports [Imports - Exports - Bunkers] (petajoules),-367
Dem. People's Rep. Korea2015,Dem. People's Rep. Korea,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-457
Dem. People's Rep. Korea2000,Dem. People's Rep. Korea,2000,Changes in stocks (petajoules),2
Dem. People's Rep. Korea1990,Dem. People's Rep. Korea,1990,Total supply (petajoules),1391
Dem. People's Rep. Korea1995,Dem. People's Rep. Korea,1995,Total supply (petajoules),921
Dem. People's Rep. Korea2000,Dem. People's Rep. Korea,2000,Total supply (petajoules),826
Dem. People's Rep. Korea2005,Dem. People's Rep. Korea,2005,Total supply (petajoules),896
Dem. People's Rep. Korea2010,Dem. People's Rep. Korea,2010,Total supply (petajoules),795
Dem. People's Rep. Korea2013,Dem. People's Rep. Korea,2013,Total supply (petajoules),459
Dem. People's Rep. Korea2014,Dem. People's Rep. Korea,2014,Total supply (petajoules),505
Dem. People's Rep. Korea2015,Dem. People's Rep. Korea,2015,Total supply (petajoules),332
Dem. People's Rep. Korea1990,Dem. People's Rep. Korea,1990,Supply per capita (gigajoules),69
Dem. People's Rep. Korea1995,Dem. People's Rep. Korea,1995,Supply per capita (gigajoules),42
Dem. People's Rep. Korea2000,Dem. People's Rep. Korea,2000,Supply per capita (gigajoules),36
Dem. People's Rep. Korea2005,Dem. People's Rep. Korea,2005,Supply per capita (gigajoules),38
Dem. People's Rep. Korea2010,Dem. People's Rep. Korea,2010,Supply per capita (gigajoules),32
Dem. People's Rep. Korea2013,Dem. People's Rep. Korea,2013,Supply per capita (gigajoules),18
Dem. People's Rep. Korea2014,Dem. People's Rep. Korea,2014,Supply per capita (gigajoules),20
Dem. People's Rep. Korea2015,Dem. People's Rep. Korea,2015,Supply per capita (gigajoules),13
Dem. Rep. of the Congo1990,Dem. Rep. of the Congo,1990,Primary energy production (petajoules),490
Dem. Rep. of the Congo1995,Dem. Rep. of the Congo,1995,Primary energy production (petajoules),616
Dem. Rep. of the Congo2000,Dem. Rep. of the Congo,2000,Primary energy production (petajoules),677
Dem. Rep. of the Congo2005,Dem. Rep. of the Congo,2005,Primary energy production (petajoules),866
Dem. Rep. of the Congo2010,Dem. Rep. of the Congo,2010,Primary energy production (petajoules),855
Dem. Rep. of the Congo2013,Dem. Rep. of the Congo,2013,Primary energy production (petajoules),1149
Dem. Rep. of the Congo2014,Dem. Rep. of the Congo,2014,Primary energy production (petajoules),1179
Dem. Rep. of the Congo2015,Dem. Rep. of the Congo,2015,Primary energy production (petajoules),1218
Dem. Rep. of the Congo1990,Dem. Rep. of the Congo,1990,Net imports [Imports - Exports - Bunkers] (petajoules),-13
Dem. Rep. of the Congo1995,Dem. Rep. of the Congo,1995,Net imports [Imports - Exports - Bunkers] (petajoules),-33
Dem. Rep. of the Congo2000,Dem. Rep. of the Congo,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-43
Dem. Rep. of the Congo2005,Dem. Rep. of the Congo,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-41
Dem. Rep. of the Congo2010,Dem. Rep. of the Congo,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-24
Dem. Rep. of the Congo2013,Dem. Rep. of the Congo,2013,Net imports [Imports - Exports - Bunkers] (petajoules),2
Dem. Rep. of the Congo2014,Dem. Rep. of the Congo,2014,Net imports [Imports - Exports - Bunkers] (petajoules),23
Dem. Rep. of the Congo2015,Dem. Rep. of the Congo,2015,Net imports [Imports - Exports - Bunkers] (petajoules),-8
Dem. Rep. of the Congo1990,Dem. Rep. of the Congo,1990,Changes in stocks (petajoules),0
Dem. Rep. of the Congo1995,Dem. Rep. of the Congo,1995,Changes in stocks (petajoules),0
Dem. Rep. of the Congo2000,Dem. Rep. of the Congo,2000,Changes in stocks (petajoules),-1
Dem. Rep. of the Congo2005,Dem. Rep. of the Congo,2005,Changes in stocks (petajoules),0
Dem. Rep. of the Congo2010,Dem. Rep. of the Congo,2010,Changes in stocks (petajoules),0
Dem. Rep. of the Congo1990,Dem. Rep. of the Congo,1990,Total supply (petajoules),477
Dem. Rep. of the Congo1995,Dem. Rep. of the Congo,1995,Total supply (petajoules),584
Dem. Rep. of the Congo2000,Dem. Rep. of the Congo,2000,Total supply (petajoules),635
Dem. Rep. of the Congo2005,Dem. Rep. of the Congo,2005,Total supply (petajoules),825
Dem. Rep. of the Congo2010,Dem. Rep. of the Congo,2010,Total supply (petajoules),831
Dem. Rep. of the Congo2013,Dem. Rep. of the Congo,2013,Total supply (petajoules),1151
Dem. Rep. of the Congo2014,Dem. Rep. of the Congo,2014,Total supply (petajoules),1202
Dem. Rep. of the Congo2015,Dem. Rep. of the Congo,2015,Total supply (petajoules),1209
Dem. Rep. of the Congo1990,Dem. Rep. of the Congo,1990,Supply per capita (gigajoules),13
Dem. Rep. of the Congo1995,Dem. Rep. of the Congo,1995,Supply per capita (gigajoules),13
Dem. Rep. of the Congo2000,Dem. Rep. of the Congo,2000,Supply per capita (gigajoules),13
Dem. Rep. of the Congo2005,Dem. Rep. of the Congo,2005,Supply per capita (gigajoules),14
Dem. Rep. of the Congo2010,Dem. Rep. of the Congo,2010,Supply per capita (gigajoules),13
Dem. Rep. of the Congo2013,Dem. Rep. of the Congo,2013,Supply per capita (gigajoules),16
Dem. Rep. of the Congo2014,Dem. Rep. of the Congo,2014,Supply per capita (gigajoules),16
Dem. Rep. of the Congo2015,Dem. Rep. of the Congo,2015,Supply per capita (gigajoules),16
Denmark1990,Denmark,1990,Primary energy production (petajoules),420
Denmark1995,Denmark,1995,Primary energy production (petajoules),649
Denmark2000,Denmark,2000,Primary energy production (petajoules),1149
Denmark2005,Denmark,2005,Primary energy production (petajoules),1298
Denmark2010,Denmark,2010,Primary energy production (petajoules),968
Denmark2013,Denmark,2013,Primary energy production (petajoules),690
Denmark2014,Denmark,2014,Primary energy production (petajoules),664
Denmark2015,Denmark,2015,Primary energy production (petajoules),662
Denmark1990,Denmark,1990,Net imports [Imports - Exports - Bunkers] (petajoules),298
Denmark1995,Denmark,1995,Net imports [Imports - Exports - Bunkers] (petajoules),217
Denmark2000,Denmark,2000,Net imports [Imports - Exports - Bunkers] (petajoules),-383
Denmark2005,Denmark,2005,Net imports [Imports - Exports - Bunkers] (petajoules),-498
Denmark2010,Denmark,2010,Net imports [Imports - Exports - Bunkers] (petajoules),-204
Denmark2013,Denmark,2013,Net imports [Imports - Exports - Bunkers] (petajoules),33
Denmark2014,Denmark,2014,Net imports [Imports - Exports - Bunkers] (petajoules),21
Denmark2015,Denmark,2015,Net imports [Imports - Exports - Bunkers] (petajoules),28
Denmark1990,Denmark,1990,Changes in stocks (petajoules),-7
Denmark1995,Denmark,1995,Changes in stocks (petajoules),57
Denmark2000,Denmark,2000,Changes in stocks (petajoules),-19
Denmark2005,Denmark,2005,Changes in stocks (petajoules),14
Denmark2010,Denmark,2010,Changes in stocks (petajoules),-45
Denmark2013,Denmark,2013,Changes in stocks (petajoules),10
Denmark2014,Denmark,2014,Changes in stocks (petajoules),15
Denmark2015,Denmark,2015,Changes in stocks (petajoules),21
Denmark1990,Denmark,1990,Total supply (petajoules),725
Denmark1995,Denmark,1995,Total supply (petajoules),811
Denmark2000,Denmark,2000,Total supply (petajoules),785
Denmark2005,Denmark,2005,Total supply (petajoules),786
Denmark2010,Denmark,2010,Total supply (petajoules),810
Denmark2013,Denmark,2013,Total supply (petajoules),713
Denmark2014,Denmark,2014,Total supply (petajoules),669
Denmark2015,Denmark,2015,Total supply (petajoules),668
Denmark1990,Denmark,1990,Supply per capita (gigajoules),141
Denmark1995,Denmark,1995,Supply per capita (gigajoules),155
Denmark2000,Denmark,2000,Supply per capita (gigajoules),147
Denmark2005,Denmark,2005,Supply per capita (gigajoules),145
Denmark2010,Denmark,2010,Supply per capita (gigajoules),146
Denmark2013,Denmark,2013,Supply per capita (gigajoules),127
Denmark2014,Denmark,2014,Supply per capita (gigajoules),118
Denmark2015,Denmark,2015,Supply per capita (gigajoules),118
Djibouti1990,Djibouti,1990,Primary energy production (petajoules),2
Djibouti1995,Djibouti,1995,Primary energy production (petajoules),2
Djibouti2000,Djibouti,2000,Primary energy production (petajoules),3
Djibouti2005,Djibouti,2005,Primary energy production (petajoules),3
Djibouti2010,Djibouti,2010,Primary energy production (petajoules),3
Djibouti2013,Djibouti,2013,Primary energy production (petajoules),3
Djibouti2014,Djibouti,2014,Primary energy production (petajoules),3
Djibouti2015,Djibouti,2015,Primary energy production (petajoules),4
Djibouti1990,Djibouti,1990,Net imports [Imports - Exports - Bunkers] (petajoules),5
Djibouti1995,Djibouti,1995,Net imports [Imports - Exports - Bunkers] (petajoules),5
Djibouti2000,Djibouti,2000,Net imports [Imports - Exports - Bunkers] (petajoules),5
Djibouti2005,Djibouti,2005,Net imports [Imports - Exports - Bunkers] (petajoules),6
Djibouti2010,Djibouti,2010,Net imports [Imports - Exports - Bunkers] (petajoules),7
Djibouti2013,Djibouti,2013,Net imports [Imports - Exports - Bunkers] (petajoules),7
Djibouti2014,Djibouti,2014,Net imports [Imports - Exports - Bunkers] (petajoules),7
Djibouti2015,Djibouti,2015,Net imports [Imports - Exports - Bunkers] (petajoules),7
Djibouti1990,Djibouti,1990,Changes in stocks (petajoules),0
Djibouti2010,Djibouti,2010,Changes in stocks (petajoules),0
Djibouti1990,Djibouti,1990,Total supply (petajoules),6
Djibouti1995,Djibouti,1995,Total supply (petajoules),7
Djibouti2000,Djibouti,2000,Total supply (petajoules),8
Djibouti2005,Djibouti,2005,Total supply (petajoules),9
Djibouti2010,Djibouti,2010,Total supply (petajoules),11
Djibouti2013,Djibouti,2013,Total supply (petajoules),11
Djibouti2014,Djibouti,2014,Total supply (petajoules),11
Djibouti2015,Djibouti,2015,Total supply (petajoules),10
Djibouti1990,Djibouti,1990,Supply per capita (gigajoules),12
Djibouti1995,Djibouti,1995,Supply per capita (gigajoules),11
Djibouti2000,Djibouti,2000,Supply per capita (gigajoules),11
Djibouti2005,Djibouti,2005,Supply per capita (gigajoules),11
Djibouti2010,Djibouti,2010,Supply per capita (gigajoules),13
Djibouti2013,Djibouti,2013,Supply per capita (gigajoules),13
Djibouti2014,Djibouti,2014,Supply per capita (gigajoules),13
Djibouti2015,Djibouti,2015,Supply per capita (gigajoules),11
Dominica1990,Dominica,1990,Primary energy production (petajoules),0
Dominica1995,Dominica,1995,Primary energy production (petajoules),0
Dominica2000,Dominica,2000,Primary energy production (petajoules),0
Dominica2005,Dominica,2005,Primary energy production (petajoules),0
Dominica2010,Dominica,2010,Primary energy production (petajoules),0
Dominica2013,Dominica,2013,Primary energy production (petajoules),0
Dominica2014,Dominica,2014,Primary energy production (petajoules),0
Dominica2015,Dominica,2015,Primary energy production (petajoules),0
Dominica1990,Dominica,1990,Net imports [Imports - Exports - Bunkers] (petajoules),1
Dominica1995,Dominica,1995,Net imports [Imports - Exports - Bunkers] (petajoules),1
Dominica2000,Dominica,2000,Net imports [Imports - Exports - Bunkers] (petajoules),1
Dominica2005,Dominica,2005,Net imports [Imports - Exports - Bunkers] (petajoules),2
Dominica2010,Dominica,2010,Net imports [Imports - Exports - Bunkers] (petajoules),2
Dominica2013,Dominica,2013,Net imports [Imports - Exports - Bunkers] (petajoules),2
Dominica2014,Dominica,2014,Net imports [Imports - Exports - Bunkers] (petajoules),2
Dominica2015,Dominica,2015,Net imports [Imports - Exports - Bunkers] (petajoules),3
Dominica1995,Dominica,1995,Changes in stocks (petajoules),0
Dominica2010,Dominica,2010,Changes in stocks (petajoules),0
Dominica2013,Dominica,2013,Changes in stocks (petajoules),0
Dominica2014,Dominica,2014,Changes in stocks (petajoules),0
Dominica2015,Dominica,2015,Changes in stocks (petajoules),0
Dominica1990,Dominica,1990,Total supply (petajoules),1
Dominica1995,Dominica,1995,Total supply (petajoules),1
Dominica2000,Dominica,2000,Total supply (petajoules),2
Dominica2005,Dominica,2005,Total supply (petajoules),2
Dominica2010,Dominica,2010,Total supply (petajoules),2
Dominica2013,Dominica,2013,Total supply (petajoules),2
Dominica2014,Dominica,2014,Total supply (petajoules),2
Dominica2015,Dominica,2015,Total supply (petajoules),3
Dominica1990,Dominica,1990,Supply per capita (gigajoules),14
Dominica1995,Dominica,1995,Supply per capita (gigajoules),19
Dominica2000,Dominica,2000,Supply per capita (gigajoules),24
Dominica2005,Dominica,2005,Supply per capita (gigajoules),31
Dominica2010,Dominica,2010,Supply per capita (gigajoules),34
Dominica2013,Dominica,2013,Supply per capita (gigajoules),33
Dominica2014,Dominica,2014,Supply per capita (gigajoules),34
Dominica2015,Dominica,2015,Supply per capita (gigajoules),37
Dominican Republic1990,Dominican Republic,1990,Primary energy production (petajoules),22
Dominican Republic1995,Dominican Republic,1995,Primary energy production (petajoules),24
Dominican Republic2000,Dominican Republic,2000,Primary energy production (petajoules),24
Dominican Republic2005,Dominican Republic,2005,Primary energy production (petajoules),28
